TRADEDATE,CLOSE
16.08.2021,3895.31
17.08.2021,3943.01
18.08.2021,3925.17
19.08.2021,3853.98
20.08.2021,3832.07
23.08.2021,3883.01
24.08.2021,3888.87
25.08.2021,3886.64
26.08.2021,3851.57
27.08.2021,3887.38
30.08.2021,3928.05
31.08.2021,3918.96
01.09.2021,3971.02
02.09.2021,3990.77
03.09.2021,4001.07
06.09.2021,4028.25
07.09.2021,4010.16
08.09.2021,4017.37
09.09.2021,3993.56
10.09.2021,4002.66
13.09.2021,4041.16
14.09.2021,4055.07
15.09.2021,4065.53
16.09.2021,4045.01
17.09.2021,4035.17
20.09.2021,3969.61
21.09.2021,3970.48
22.09.2021,4030.98
23.09.2021,4052.14
24.09.2021,4038.23
27.09.2021,4081.22
28.09.2021,4065.46
29.09.2021,4058.37
30.09.2021,4103.52
01.10.2021,4086.99
04.10.2021,4112.72
05.10.2021,4223.85
06.10.2021,4171.71
07.10.2021,4228.02
08.10.2021,4238.58
11.10.2021,4279.87
12.10.2021,4263.08
13.10.2021,4243.92
14.10.2021,4259.13
15.10.2021,4261.82
18.10.2021,4248.33
19.10.2021,4276.26
20.10.2021,4287.52
21.10.2021,4218.63
22.10.2021,4196.96
25.10.2021,4254.98
26.10.2021,4235.87
27.10.2021,4229.53
28.10.2021,4189.66
29.10.2021,4150.35
01.11.2021,4221.49
02.11.2021,4207.53
03.11.2021,4184.87
05.11.2021,4174.76
08.11.2021,4218.27
09.11.2021,4187.33
10.11.2021,4172.47
11.11.2021,4189.35
12.11.2021,4121.66
15.11.2021,4135.14
16.11.2021,4120.02
17.11.2021,4149.02
18.11.2021,4093.85
19.11.2021,4016.47
22.11.2021,3872.77
23.11.2021,3960.33
24.11.2021,3950.56
25.11.2021,3947.82
26.11.2021,3810.98
29.11.2021,3879.54
30.11.2021,3890.59
01.12.2021,3959.29
02.12.2021,3947.54
03.12.2021,3913.06
06.12.2021,3810.01
07.12.2021,3873.02
08.12.2021,3773.61
09.12.2021,3813.29
10.12.2021,3760.23
13.12.2021,3618.31
14.12.2021,3619.39
15.12.2021,3621.82
16.12.2021,3750.36
17.12.2021,3723.27
20.12.2021,3669.05
21.12.2021,3693.02
22.12.2021,3746.75
23.12.2021,3704.06
24.12.2021,3702.72
27.12.2021,3740.63
28.12.2021,3777.56
29.12.2021,3741.07
30.12.2021,3787.26
03.01.2022,3852.05
04.01.2022,3873.49
05.01.2022,3815.05
06.01.2022,3753.29
07.01.2022,3772.04
10.01.2022,3738.68
11.01.2022,3785.29
12.01.2022,3829.95
13.01.2022,3674.73
14.01.2022,3596.98
17.01.2022,3560.35
18.01.2022,3328.94
19.01.2022,3436.82
20.01.2022,3516.02
21.01.2022,3439.25
24.01.2022,3235.28
25.01.2022,3258.74
26.01.2022,3357.66
27.01.2022,3455.93
28.01.2022,3488.06
31.01.2022,3530.38
01.02.2022,3548.17
02.02.2022,3543.08
03.02.2022,3471.18
04.02.2022,3471.01
07.02.2022,3470.78
08.02.2022,3551.65
09.02.2022,3638.93
10.02.2022,3655.76
11.02.2022,3546.62
14.02.2022,3481.38
15.02.2022,3600.29
16.02.2022,3646.41
17.02.2022,3511.08
18.02.2022,3393.31
21.02.2022,3036.88
22.02.2022,3084.74
24.02.2022,2058.12
25.02.2022,2470.48
24.03.2022,2578.51
25.03.2022,2484.13
28.03.2022,2430.07
29.03.2022,2408.49
30.03.2022,2513.03
31.03.2022,2703.51
01.04.2022,2759.64
04.04.2022,2787.69
05.04.2022,2662.79
06.04.2022,2611.43
07.04.2022,2635.39
08.04.2022,2592.72
11.04.2022,2557.16
12.04.2022,2540.99
13.04.2022,2528.42
14.04.2022,2404.73
15.04.2022,2424.99
18.04.2022,2342.63
19.04.2022,2317.46
20.04.2022,2330.73
21.04.2022,2271.05
22.04.2022,2232.23
25.04.2022,2186.22
26.04.2022,2318.46
27.04.2022,2424.28
28.04.2022,2383.66
29.04.2022,2445.17
04.05.2022,2373.16
05.05.2022,2404.08
06.05.2022,2393.03
11.05.2022,2387.14
12.05.2022,2297.89
13.05.2022,2307.05
16.05.2022,2364.06
17.05.2022,2424.01
18.05.2022,2445.03
19.05.2022,2436.57
20.05.2022,2373.26
23.05.2022,2301.85
24.05.2022,2293.62
25.05.2022,2340.18
26.05.2022,2413.06
27.05.2022,2407.59
30.05.2022,2400.39
31.05.2022,2355.75
01.06.2022,2374.06
02.06.2022,2340.17
03.06.2022,2308.03
06.06.2022,2282.16
07.06.2022,2291.62
08.06.2022,2318.85
09.06.2022,2293.99
10.06.2022,2285.52
14.06.2022,2289.75
15.06.2022,2318.96
16.06.2022,2369.75
